SMILES,Catalog_ID,IUPAC_Name,URL
O=C(Cl)N(c1ccccc1)c1ccccc1,EN300-19988,"N,N-diphenylcarbamoyl chloride",https://www.enaminestore.com/catalog/EN300-19988
CCC1(c2ccccc2)NC(=O)N(CC(=O)O)C1=O,EN300-08821,"2-(4-ethyl-2,5-dioxo-4-phenylimidazolidin-1-yl)acetic acid",https://www.enaminestore.com/catalog/EN300-08821
CNCCOc1ccc(Cl)cc1,EN300-07966,[2-(4-chlorophenoxy)ethyl](methyl)amine,https://www.enaminestore.com/catalog/EN300-07966
COc1ccc(NCc2ccc(N(C)C)cc2)cc1,EN300-11804,N-{[4-(dimethylamino)phenyl]methyl}-4-methoxyaniline,https://www.enaminestore.com/catalog/EN300-11804
CCCOc1ccc(OCCBr)cc1,EN300-09138,1-(2-bromoethoxy)-4-propoxybenzene,https://www.enaminestore.com/catalog/EN300-09138
CCOc1cc(C(=O)O)ccc1OCCOc1ccccc1,EN300-06256,3-ethoxy-4-(2-phenoxyethoxy)benzoic acid,https://www.enaminestore.com/catalog/EN300-06256
CC(C)(C)C1CCc2sc(C(=O)NN)cc2C1,EN300-09153,"5-tert-butyl-4,5,6,7-tetrahydro-1-benzothiophene-2-carbohydrazide",https://www.enaminestore.com/catalog/EN300-09153
Cc1ccc(C(=O)O)s1,EN300-21259,5-methylthiophene-2-carboxylic acid,https://www.enaminestore.com/catalog/EN300-21259
COc1ccccc1N1CCNCC1,EN300-33366,1-(2-methoxyphenyl)piperazine,https://www.enaminestore.com/catalog/EN300-33366
Nc1nncs1,EN300-17228,"1,3,4-thiadiazol-2-amine",https://www.enaminestore.com/catalog/EN300-17228
O=C=Nc1cccc(Cl)c1,EN300-21284,1-chloro-3-isocyanatobenzene,https://www.enaminestore.com/catalog/EN300-21284
COC(=O)C1(C)CC1(Cl)Cl,EN300-15477,"methyl 2,2-dichloro-1-methylcyclopropane-1-carboxylate",https://www.enaminestore.com/catalog/EN300-15477
Nc1cc(S(=O)(=O)Nc2ccccc2Cl)ccc1N1CCOCC1,EN300-02174,3-amino-N-(2-chlorophenyl)-4-(morpholin-4-yl)benzene-1-sulfonamide,https://www.enaminestore.com/catalog/EN300-02174
O=C1Cc2ccccc2N1,EN300-20422,"2,3-dihydro-1H-indol-2-one",https://www.enaminestore.com/catalog/EN300-20422
CC(C)(C)C(=O)C(Cl)Cl,EN300-18636,"1,1-dichloro-3,3-dimethylbutan-2-one",https://www.enaminestore.com/catalog/EN300-18636
CCC(=O)Cc1ccccc1,EN300-21394,1-phenylbutan-2-one,https://www.enaminestore.com/catalog/EN300-21394
O=Cc1cccc(C(F)(F)F)c1,EN300-21347,3-(trifluoromethyl)benzaldehyde,https://www.enaminestore.com/catalog/EN300-21347
Cc1cc(C(=O)O)c(C)n1-c1ccc(Cl)cc1,EN300-50276,"1-(4-chlorophenyl)-2,5-dimethyl-1H-pyrrole-3-carboxylic acid",https://www.enaminestore.com/catalog/EN300-50276
Cc1cccc(C(N)=O)c1N,EN300-29544,2-amino-3-methylbenzamide,https://www.enaminestore.com/catalog/EN300-29544
CC(C)=CC(=O)O,EN300-20709,3-methylbut-2-enoic acid,https://www.enaminestore.com/catalog/EN300-20709
